name,PSNR,SSIM
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_24_11_Focus_0_-7.579.PNG'], 30.97, 0.8203
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_17_18_Vibration_3_0.0.PNG'], 40.03, 0.9511
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_14_6_Vibration_7_0.0.PNG'], 33.30, 0.8802
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_4_18_Vibration_5_0.0.PNG'], 35.20, 0.9041
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_14_6_Both_3_6.361.PNG'], 31.34, 0.8287
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_14_6_Vibration_5_0.0.PNG'], 35.13, 0.9044
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_2_1_Vibration_8_0.0.PNG'], 38.59, 0.9283
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_27_13_Focus_0_7.783.PNG'], 31.44, 0.8316
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_21_12_Both_7_-1.95.PNG'], 33.30, 0.8770
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_19_16_Both_0_-12.777.PNG'], 28.61, 0.7717
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_12_3_Vibration_7_0.0.PNG'], 33.42, 0.8776
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_12_4_Vibration_3_0.0.PNG'], 39.73, 0.9566
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_20_16_Both_8_-13.384.PNG'], 27.60, 0.7445
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_1_0_Both_3_7.501.PNG'], 35.27, 0.8953
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_4_16_Vibration_5_0.0.PNG'], 33.64, 0.8741
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_16_1_Both_2_-3.065.PNG'], 37.24, 0.9416
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_17_20_ZStack_0_4049.204.PNG'], 41.06, 0.9621
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_22_11_Focus_0_-5.478.PNG'], 32.97, 0.8646
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_29_15_ZStack_0_4024.814.PNG'], 39.52, 0.9622
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_22_17_Vibration_7_0.0.PNG'], 32.95, 0.8736
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_4_13_Both_6_4.681.PNG'], 32.79, 0.8607
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_18_1_Focus_0_9.499.PNG'], 37.55, 0.9430
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_7_14_Focus_0_6.972.PNG'], 31.87, 0.8411
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_4_18_Focus_0_11.254.PNG'], 30.30, 0.8077
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_14_6_ZStack_0_4008.373.PNG'], 39.50, 0.9624
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_28_3_Focus_0_-3.226.PNG'], 37.39, 0.9297
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_0_4_Focus_0_4.44.PNG'], 37.22, 0.9183
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_30_18_Both_3_-9.287.PNG'], 28.83, 0.7977
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_10_14_Both_5_-0.287.PNG'], 37.24, 0.9357
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_17_3_Vibration_2_0.0.PNG'], 38.40, 0.9412
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_6_13_ZStack_0_4044.465.PNG'], 38.59, 0.9560
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_19_5_Both_0_10.58.PNG'], 30.76, 0.8218
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_4_10_Both_1_9.255.PNG'], 30.64, 0.8108
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_0_9_Focus_0_-1.627.PNG'], 40.30, 0.9543
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_4_16_Vibration_9_0.0.PNG'], 35.32, 0.9066
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_24_13_Vibration_3_0.0.PNG'], 39.39, 0.9542
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_4_10_Both_4_8.553.PNG'], 29.17, 0.7708
