name,PSNR,SSIM
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_16_3_Vibration_5_0.0.PNG'], 38.84, 0.9583
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_23_3_ZStack_0_1852.335.PNG'], 38.32, 0.9591
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_27_5_Focus_0_5.486.PNG'], 33.14, 0.8795
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_10_1_ZStack_0_1830.711.PNG'], 44.39, 0.9705
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_2_0_Focus_0_-1.727.PNG'], 43.60, 0.9663
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_2_12_Vibration_8_0.0.PNG'], 41.93, 0.9634
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_13_8_Vibration_9_0.0.PNG'], 31.08, 0.8458
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_12_3_Focus_0_12.278.PNG'], 28.65, 0.7532
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_8_1_Vibration_7_0.0.PNG'], 42.61, 0.9614
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_24_0_Focus_0_12.512.PNG'], 40.20, 0.9516
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_2_0_Focus_0_-1.89.PNG'], 43.59, 0.9663
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_3_4_Vibration_8_0.0.PNG'], 43.10, 0.9634
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_12_7_Both_7_8.58.PNG'], 28.58, 0.7449
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_18_11_Focus_0_8.648.PNG'], 29.92, 0.7803
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_9_12_Both_4_-6.87.PNG'], 29.07, 0.7800
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_9_12_Focus_0_-11.301.PNG'], 28.09, 0.7531
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_24_3_Vibration_1_0.0.PNG'], 38.41, 0.9611
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_18_11_Both_2_1.196.PNG'], 32.03, 0.8613
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_13_13_Vibration_6_0.0.PNG'], 30.72, 0.8476
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_12_7_Focus_0_-8.227.PNG'], 28.99, 0.7554
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_6_14_Both_7_11.454.PNG'], 24.59, 0.6561
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_2_12_Vibration_1_0.0.PNG'], 39.64, 0.9609
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_28_1_Both_8_-3.93.PNG'], 42.07, 0.9573
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_27_5_Focus_0_2.352.PNG'], 35.89, 0.9291
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_13_11_Vibration_3_0.0.PNG'], 29.02, 0.7891
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_10_1_Both_5_3.983.PNG'], 41.13, 0.9558
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_16_3_Focus_0_-12.046.PNG'], 27.34, 0.7259
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_13_11_Both_4_-0.254.PNG'], 33.13, 0.9048
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_16_3_Vibration_2_0.0.PNG'], 31.84, 0.8583
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_30_5_Focus_0_6.335.PNG'], 41.29, 0.9533
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_13_13_Focus_0_-7.985.PNG'], 29.45, 0.7661
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_14_0_Both_5_-9.404.PNG'], 38.26, 0.9542
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_2_12_Focus_0_2.967.PNG'], 40.90, 0.9635
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_25_11_Both_2_9.203.PNG'], 28.73, 0.7663
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_13_13_Both_3_2.456.PNG'], 32.42, 0.8702
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_9_10_Focus_0_-2.195.PNG'], 33.24, 0.8907
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_12_10_Both_0_8.955.PNG'], 29.63, 0.8053
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_13_13_Both_3_-0.512.PNG'], 34.66, 0.9202
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_13_10_Both_2_-9.075.PNG'], 27.99, 0.7246
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_28_1_Focus_0_-10.684.PNG'], 40.25, 0.9509
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_2_0_Both_5_7.647.PNG'], 41.79, 0.9570
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_2_12_Vibration_6_0.0.PNG'], 39.20, 0.9579
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_3_2_Both_4_5.543.PNG'], 42.06, 0.9588
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_8_1_Vibration_5_0.0.PNG'], 41.06, 0.9526
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_3_9_Both_8_-6.853.PNG'], 40.42, 0.9539
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_8_1_Vibration_8_0.0.PNG'], 42.85, 0.9626
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_28_12_Focus_0_6.516.PNG'], 30.95, 0.8088
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_18_11_Vibration_5_0.0.PNG'], 30.62, 0.8170
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_27_5_Focus_0_9.738.PNG'], 31.69, 0.8596
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_30_5_Focus_0_-11.615.PNG'], 39.79, 0.9484
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_25_11_Focus_0_8.104.PNG'], 30.43, 0.7979
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_12_3_Focus_0_12.529.PNG'], 28.63, 0.7530
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_20_6_Focus_0_-9.366.PNG'], 28.31, 0.7481
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_13_8_Focus_0_11.45.PNG'], 29.65, 0.7770
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_12_3_Focus_0_-6.926.PNG'], 29.91, 0.7889
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_12_10_Vibration_3_0.0.PNG'], 31.09, 0.8395
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_17_6_Both_0_10.717.PNG'], 29.77, 0.7792
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_24_2_Both_4_1.908.PNG'], 39.61, 0.9575
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_1_9_Vibration_3_0.0.PNG'], 43.37, 0.9651
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_18_3_Both_5_9.067.PNG'], 29.27, 0.7672
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_17_6_Focus_0_-8.786.PNG'], 28.87, 0.7594
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_24_2_Both_8_0.598.PNG'], 39.12, 0.9533
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_8_1_Focus_0_-6.498.PNG'], 41.56, 0.9567
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_2_12_Focus_0_-9.523.PNG'], 39.41, 0.9539
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_2_12_Focus_0_-13.321.PNG'], 38.75, 0.9525
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_27_5_Both_2_-10.189.PNG'], 30.02, 0.8317
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_9_10_Focus_0_-12.077.PNG'], 27.07, 0.7091
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_11_6_Both_3_-6.886.PNG'], 29.90, 0.7846
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_9_12_Focus_0_-13.001.PNG'], 27.46, 0.7409
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_14_0_Both_7_5.764.PNG'], 38.93, 0.9533
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_20_6_Vibration_4_0.0.PNG'], 37.65, 0.9466
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_17_7_Focus_0_8.579.PNG'], 30.80, 0.8092
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_5_3_Both_1_4.602.PNG'], 42.31, 0.9592
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_29_2_Both_3_-12.343.PNG'], 39.69, 0.9488
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_18_3_Vibration_6_0.0.PNG'], 30.92, 0.8309
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_13_11_Focus_0_9.993.PNG'], 29.03, 0.7687
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_2_12_Vibration_2_0.0.PNG'], 42.86, 0.9687
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_28_12_Both_6_9.928.PNG'], 25.89, 0.7148
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_15_7_Vibration_7_0.0.PNG'], 32.10, 0.8681
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_18_3_Both_2_-3.999.PNG'], 33.28, 0.8782
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_28_12_Both_7_-9.482.PNG'], 23.59, 0.6685
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_15_7_Focus_0_8.279.PNG'], 30.87, 0.8031
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_29_2_Focus_0_10.977.PNG'], 40.57, 0.9513
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_18_11_Both_1_1.119.PNG'], 31.53, 0.8489
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_16_10_Focus_0_-3.592.PNG'], 31.79, 0.8502
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_3_8_Both_7_-9.744.PNG'], 39.87, 0.9502
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_3_4_Focus_0_-11.285.PNG'], 40.33, 0.9530
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_24_3_Focus_0_5.65.PNG'], 31.81, 0.8461
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_5_3_Vibration_7_0.0.PNG'], 42.25, 0.9598
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_12_10_Vibration_2_0.0.PNG'], 31.85, 0.8632
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_13_10_Focus_0_-13.413.PNG'], 26.68, 0.6954
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_6_14_Both_2_0.0410000000002.PNG'], 29.05, 0.7974
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_11_6_Vibration_8_0.0.PNG'], 31.44, 0.8439
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_6_14_Focus_0_-13.427.PNG'], 26.75, 0.6957
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_13_13_Vibration_4_0.0.PNG'], 38.94, 0.9608
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_14_0_Vibration_1_0.0.PNG'], 40.10, 0.9608
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_28_1_Focus_0_-4.791.PNG'], 41.85, 0.9566
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_30_5_Vibration_8_0.0.PNG'], 42.38, 0.9586
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_13_5_Vibration_6_0.0.PNG'], 30.56, 0.8266
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_1_9_Both_7_12.248.PNG'], 39.24, 0.9490
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_11_6_Vibration_6_0.0.PNG'], 27.58, 0.7473
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_12_10_Both_5_4.31.PNG'], 29.73, 0.8034
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_17_7_Vibration_7_0.0.PNG'], 33.80, 0.8924
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_9_12_Vibration_7_0.0.PNG'], 29.84, 0.8170
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_5_3_Both_5_-5.881.PNG'], 41.64, 0.9564
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_17_7_Both_1_9.941.PNG'], 30.16, 0.7952
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_10_1_Focus_0_-5.834.PNG'], 42.04, 0.9590
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_13_11_Focus_0_8.698.PNG'], 29.32, 0.7791
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_9_12_Both_3_-1.005.PNG'], 30.34, 0.8202
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_13_10_Both_5_11.563.PNG'], 28.17, 0.7238
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_23_3_Both_1_-9.454.PNG'], 28.41, 0.7591
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_13_11_Both_4_2.575.PNG'], 28.08, 0.7590
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_6_14_Focus_0_-5.719.PNG'], 30.71, 0.8071
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_27_5_Focus_0_10.382.PNG'], 31.52, 0.8571
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_24_3_Focus_0_-12.806.PNG'], 27.57, 0.7579
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_11_6_Both_7_-7.812.PNG'], 26.50, 0.6927
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_25_11_Focus_0_-4.224.PNG'], 32.28, 0.8489
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_13_11_Vibration_5_0.0.PNG'], 28.64, 0.7524
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_3_2_Both_1_-11.22.PNG'], 41.04, 0.9562
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_3_4_Focus_0_-7.683.PNG'], 41.11, 0.9550
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_3_9_Both_7_3.746.PNG'], 38.66, 0.9505
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_2_12_Focus_0_12.234.PNG'], 39.60, 0.9548
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_15_7_Vibration_9_0.0.PNG'], 32.27, 0.8729
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_16_3_Both_1_-5.206.PNG'], 31.37, 0.8320
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_30_3_Both_7_-8.594.PNG'], 40.22, 0.9494
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_29_2_Both_3_-11.925.PNG'], 39.84, 0.9491
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_29_4_Both_2_9.402.PNG'], 40.47, 0.9494
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_5_3_Focus_0_-12.781.PNG'], 40.24, 0.9529
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_23_3_Vibration_7_0.0.PNG'], 30.80, 0.8530
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_3_2_Focus_0_11.09.PNG'], 41.42, 0.9573
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_3_8_Focus_0_7.474.PNG'], 41.46, 0.9553
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_13_13_Both_6_4.281.PNG'], 27.75, 0.7330
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_17_6_Focus_0_-3.85.PNG'], 33.31, 0.8753
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_15_3_Focus_0_8.595.PNG'], 30.36, 0.7988
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_1_9_ZStack_0_1859.329.PNG'], 44.29, 0.9701
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_18_11_Focus_0_-13.128.PNG'], 27.12, 0.7021
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_2_12_Focus_0_-1.529.PNG'], 41.94, 0.9655
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_13_10_Focus_0_-3.237.PNG'], 32.70, 0.8603
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_29_4_ZStack_0_1861.059.PNG'], 44.23, 0.9699
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_28_12_Vibration_6_0.0.PNG'], 32.71, 0.8877
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_27_5_Focus_0_7.255.PNG'], 32.43, 0.8711
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_9_10_Vibration_9_0.0.PNG'], 31.83, 0.8535
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_29_2_Vibration_5_0.0.PNG'], 43.04, 0.9635
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_3_9_Focus_0_-10.62.PNG'], 39.98, 0.9526
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_23_3_Vibration_6_0.0.PNG'], 29.09, 0.8125
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_12_10_Focus_0_-2.001.PNG'], 36.51, 0.9421
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_9_10_Vibration_5_0.0.PNG'], 29.72, 0.8231
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_15_3_Vibration_3_0.0.PNG'], 35.07, 0.9209
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_14_0_Vibration_9_0.0.PNG'], 41.03, 0.9609
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_16_10_Vibration_8_0.0.PNG'], 33.99, 0.8977
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_12_3_Both_0_-12.602.PNG'], 26.78, 0.7012
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_3_4_Focus_0_0.441.PNG'], 44.38, 0.9704
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_3_9_Focus_0_-2.508.PNG'], 42.34, 0.9639
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_12_3_Focus_0_0.879.PNG'], 36.99, 0.9498
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_8_1_Focus_0_-2.655.PNG'], 43.15, 0.9642
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_14_0_Vibration_4_0.0.PNG'], 42.88, 0.9674
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_12_7_Both_1_-10.786.PNG'], 26.98, 0.7079
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_2_0_Both_8_9.866.PNG'], 41.17, 0.9560
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_3_2_Vibration_3_0.0.PNG'], 44.04, 0.9684
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_3_9_Focus_0_1.425.PNG'], 43.57, 0.9684
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_17_6_Vibration_8_0.0.PNG'], 32.00, 0.8553
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_16_10_Vibration_9_0.0.PNG'], 30.73, 0.8268
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_12_10_Focus_0_-10.742.PNG'], 28.81, 0.7811
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_28_1_Both_4_10.518.PNG'], 40.54, 0.9518
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_14_0_Focus_0_3.801.PNG'], 41.73, 0.9620
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_28_12_Vibration_7_0.0.PNG'], 30.00, 0.8414
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_29_2_Both_2_4.434.PNG'], 42.29, 0.9586
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_20_6_Both_4_7.856.PNG'], 29.63, 0.7788
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_24_3_Vibration_7_0.0.PNG'], 32.08, 0.8723
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_8_1_Both_9_-11.891.PNG'], 40.16, 0.9530
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_29_4_Both_1_-10.473.PNG'], 39.84, 0.9474
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_24_0_Vibration_8_0.0.PNG'], 42.76, 0.9614
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_3_4_Focus_0_2.557.PNG'], 43.34, 0.9650
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_9_10_Both_9_3.147.PNG'], 28.84, 0.7747
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_3_8_Focus_0_-7.066.PNG'], 41.30, 0.9547
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_14_0_Both_9_-6.004.PNG'], 37.22, 0.9549
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_16_10_Both_6_-0.428.PNG'], 31.86, 0.8575
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_6_14_Vibration_2_0.0.PNG'], 33.70, 0.9078
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_30_5_Focus_0_12.436.PNG'], 40.13, 0.9495
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_28_1_Both_1_-5.071.PNG'], 41.77, 0.9562
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_13_5_Both_7_-6.938.PNG'], 27.44, 0.7044
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_3_8_Vibration_2_0.0.PNG'], 44.12, 0.9691
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_17_6_Vibration_6_0.0.PNG'], 31.70, 0.8446
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_20_6_Focus_0_-9.063.PNG'], 28.29, 0.7472
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_24_2_Both_8_0.46.PNG'], 35.76, 0.9486
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_1_9_Focus_0_-1.898.PNG'], 43.66, 0.9669
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_6_14_Both_1_0.292.PNG'], 28.50, 0.7863
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_3_8_Focus_0_11.558.PNG'], 40.72, 0.9531
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_9_12_Both_9_-7.074.PNG'], 26.75, 0.7150
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_21_5_Vibration_9_0.0.PNG'], 30.69, 0.8286
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_3_9_Both_9_-0.895.PNG'], 41.95, 0.9591
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_9_12_ZStack_0_1880.601.PNG'], 35.84, 0.9395
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_24_2_Both_2_-2.583.PNG'], 39.68, 0.9583
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_13_8_Focus_0_7.921.PNG'], 30.71, 0.8046
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_6_14_Vibration_9_0.0.PNG'], 32.59, 0.8716
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_8_1_Focus_0_3.032.PNG'], 42.94, 0.9629
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_9_10_Focus_0_5.964.PNG'], 30.34, 0.8085
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_29_4_Focus_0_5.059.PNG'], 41.56, 0.9541
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_20_6_Vibration_1_0.0.PNG'], 30.66, 0.8255
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_6_14_Focus_0_-5.596.PNG'], 31.01, 0.8174
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_15_7_Both_3_-8.068.PNG'], 29.59, 0.7702
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_3_8_Focus_0_10.789.PNG'], 40.94, 0.9538
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_5_3_Both_6_1.939.PNG'], 40.29, 0.9501
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_13_13_ZStack_0_1891.586.PNG'], 39.09, 0.9639
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_24_3_Both_7_-7.694.PNG'], 26.02, 0.7362
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_10_1_Vibration_9_0.0.PNG'], 42.43, 0.9606
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_10_1_Both_9_-6.081.PNG'], 41.16, 0.9560
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_13_10_Both_5_5.094.PNG'], 27.01, 0.7135
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_13_5_Focus_0_-0.324.PNG'], 39.75, 0.9692
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_3_9_Vibration_7_0.0.PNG'], 39.90, 0.9549
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_24_0_Focus_0_-9.022.PNG'], 40.44, 0.9519
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_8_1_Focus_0_9.573.PNG'], 41.21, 0.9558
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_30_5_Both_5_-5.426.PNG'], 42.14, 0.9581
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_13_8_Both_6_12.566.PNG'], 26.90, 0.7164
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_6_14_Both_0_9.411.PNG'], 29.71, 0.7772
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_11_6_Vibration_1_0.0.PNG'], 28.71, 0.7841
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_3_2_Focus_0_-5.36.PNG'], 42.38, 0.9600
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_12_10_Vibration_9_0.0.PNG'], 32.13, 0.8681
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_24_2_Focus_0_4.406.PNG'], 38.46, 0.9484
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_9_10_Both_5_12.114.PNG'], 26.85, 0.7043
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_24_3_Focus_0_2.917.PNG'], 33.91, 0.8988
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_20_6_Vibration_9_0.0.PNG'], 33.18, 0.8909
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_9_12_Focus_0_-7.989.PNG'], 29.24, 0.7873
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_15_3_Vibration_1_0.0.PNG'], 39.83, 0.9682
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_11_6_Both_0_-6.368.PNG'], 30.78, 0.8059
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_17_7_Focus_0_-7.266.PNG'], 30.59, 0.8034
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_13_11_Vibration_1_0.0.PNG'], 28.44, 0.7616
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_29_2_ZStack_0_1851.909.PNG'], 44.28, 0.9701
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_28_12_Vibration_9_0.0.PNG'], 31.39, 0.8395
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_12_3_Both_4_-0.388.PNG'], 37.63, 0.9537
['200624_EBiMA_LiB2/test/20200624_LIB2_20.0_3_8_Focus_0_-6.002.PNG'], 41.57, 0.9557
